smiles,Activity2
C=CC(=O)NC1CCN(S(=O)(=O)c2ccc(C(=O)NCc3cccc4ccccc34)cc2)CC1,1.0
C=CC(=O)NCCCCC(NC(=O)Cc1ccccc1)C(=O)N1CCN(c2cccc(C(C)(C)C)n2)CC1,1.0
C=CC(=O)NC1CCN(S(=O)(=O)c2ccc(C(=O)NCCc3ccc(C)c(C)c3)cc2)CC1,1.0
C=CC(=O)NC1CCN(S(=O)(=O)c2ccc(C(=O)NCCc3ccccc3)cc2)CC1,1.0
C=CC(=O)Nc1ccc(S(=O)(=O)N2CCN(C(=O)OCc3ccccc3)CC2)c(C(F)(F)F)c1,1.0
C=CC(=O)Nc1ccc(S(=O)(=O)N2CCN(C(=O)C3CC3)CC2)cn1,1.0
C=CC(=O)NCCCCC(NC(=O)Cc1ccccc1)C(=O)N1CCN(c2cccc(Cl)n2)CC1,1.0
C=CC(=O)NCCCCC(NC(C)=O)C(=O)N1CCN(c2cccc(C)n2)CC1,1.0
CCCCC(NC(=O)C(CCC=CC(=O)OC)NC(=O)C1CC(=O)CN1)C(=O)NC(C(=O)NC(CC(C)C)C(=O)N1CCCC1C(=O)O)C(C)CC,1.0
CC(=O)N1CCCC1C(=O)NC(CCC(=O)C=[N+]=[N-])C(=O)NC(CC(C)C)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(N)=O,1.0
C=CC(=O)NC1CCN(S(=O)(=O)c2ccc(C(=O)NCc3ccccc3)cc2)CC1,1.0
C=CC(=O)NC1CCN(S(=O)(=O)c2ccc(C(=O)NC3Cc4ccccc4C3)cc2)CC1,1.0
C=CC(=O)NCCCCC(NC(=O)Cc1ccccc1)C(=O)N1CCN(c2cccc(-c3ccccc3)n2)CC1,1.0
CC1CCCc2sc3nc(SCC(=O)NN)n(-c4cccc(F)c4)c(=O)c3c21,1.0
C=CC(=O)Nc1ccc(S(=O)(=O)N2CCC(CNC(=O)OCc3ccccc3)CC2)cc1,1.0
C=CC(=O)Nc1ccc(S(=O)(=O)N2CCC(NC(=O)OCc3ccccc3)CC2)cc1,1.0
CC(C)c1csc2nc(SCC(=O)NN)n(-c3cccc(F)c3)c(=O)c12,1.0
C=CC(=O)NC1CCN(S(=O)(=O)c2ccc(C(=O)NCCc3ccccc3OC)cc2)CC1,1.0
C=CC(=O)NCCCCC(NC(=O)OCc1ccccc1)C(=O)N1CCN(c2ccc3ccccc3c2)CC1,1.0
CNC1CCN(C(=O)n2sc3c(ccc[n+]3[O-])c2=O)CC1,1.0
C=CC(=O)NCCCCC(NC(=O)OCc1ccccc1)C(=O)N1Cc2ccccc2C1,1.0
NNC(=O)CSc1nc2scc(-c3ccccc3)c2c(=O)n1-c1ccccc1,1.0
NNC(=O)CSc1nc2scc(-c3ccccc3)c2c(=O)n1-c1cccc(F)c1,1.0
CS(=O)(=O)N1CCN(C(=O)n2sc3c(ccc[n+]3[O-])c2=O)CC1,1.0
C=CC(=O)NCCCCC(NC(=O)OCc1ccccc1)C(=O)N1CCN(c2ccccn2)CC1,1.0
O=C(N1CCOCC1)n1sc2c(ccc[n+]2[O-])c1=O,1.0
C[S+](C)CC(=O)NCC(=O)N1CCN(C(=O)OC(C)(C)C)CC1,1.0
C=CC(=O)NC1CCN(S(=O)(=O)c2ccc(C(=O)NCCc3ccc(Cl)cc3)cc2)CC1,1.0
C=CC(=O)NC1CCN(S(=O)(=O)c2ccc(C(=O)NCCc3ccc4ccccc4c3)cc2)CC1,1.0
COc1ccc(-c2csc3nc(SCC(=O)NN)n(-c4cccc(F)c4)c(=O)c23)cc1,1.0
C=CC(=O)NC1CCN(S(=O)(=O)c2ccc(C(=O)NCCc3cccc4c3OCO4)cc2)CC1,1.0
C=CC(=O)NC1CCN(S(=O)(=O)c2ccc(NC(=O)OCc3ccccc3)cc2)CC1,1.0
NNC(=O)CSc1nc2scc(-c3cccc(F)c3)c2c(=O)n1-c1cccc(F)c1,1.0
C=CC(=O)Nc1ccc(S(=O)(=O)N2CC3CC2CN3C(=O)OC(C)(C)C)cc1,1.0
